               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086548,             0.02606,             0.04309,             0.28302,             0.12672,             0.02046,           0.0053671,            0.062313,            0.014105,            0.045385,             0.00239,             0.00239,             0.07849
                   1,            0.059377,            0.021206,            0.036041,             0.33139,             0.21899,            0.070145,            0.030163,            0.053727,            0.011766,            0.040036,           0.0047889,           0.0047889,            0.056889
                   2,            0.057573,            0.020432,            0.030517,             0.36073,             0.20017,            0.078706,            0.038943,            0.061976,            0.011271,            0.033257,           0.0071836,           0.0071836,            0.035284
                   3,            0.056251,            0.019337,            0.026637,             0.06743,             0.23299,            0.030962,           0.0096276,            0.053527,            0.011659,            0.043452,           0.0095708,           0.0095708,            0.013671
                   4,             0.05551,            0.018375,            0.024818,             0.55632,            0.076923,            0.036998,            0.017498,            0.057324,            0.012737,            0.043103,           0.0099645,           0.0099645,           0.0099645
                   5,            0.053343,            0.018449,            0.023648,            0.037577,             0.45208,            0.043537,            0.015948,            0.057518,            0.011974,            0.043921,           0.0099645,           0.0099645,           0.0099645
                   6,            0.052013,            0.019974,            0.022405,             0.13316,             0.12222,            0.036319,            0.011351,            0.053907,            0.013368,            0.049039,           0.0099446,           0.0099446,           0.0099446
                   7,            0.050637,            0.018277,            0.020019,             0.19464,            0.084432,            0.049726,            0.021433,            0.055661,            0.013021,            0.044849,           0.0099203,           0.0099203,           0.0099203
                   8,            0.048172,            0.019077,            0.018209,            0.056813,              0.0789,            0.033223,            0.014837,             0.05111,            0.012627,            0.041141,           0.0098916,           0.0098916,           0.0098916
                   9,             0.04748,            0.016907,            0.017369,            0.048478,             0.14154,            0.034226,            0.015314,            0.052155,            0.012351,            0.048415,           0.0098586,           0.0098586,           0.0098586
                  10,            0.045773,            0.017049,            0.017238,            0.081892,             0.16583,             0.05744,            0.023972,            0.052437,            0.013598,            0.036132,           0.0098213,           0.0098213,           0.0098213
                  11,            0.045344,            0.016593,            0.015851,             0.24059,            0.089678,            0.091307,            0.045761,            0.050684,            0.013651,            0.040872,           0.0097798,           0.0097798,           0.0097798
                  12,            0.045393,            0.016669,            0.014786,             0.15448,             0.12481,             0.10855,            0.049987,            0.049517,              0.0116,            0.034541,            0.009734,            0.009734,            0.009734
                  13,            0.043795,            0.015699,            0.015301,             0.18927,             0.16096,             0.10055,            0.041577,            0.047269,            0.012538,            0.033977,            0.009684,            0.009684,            0.009684
                  14,            0.043731,            0.016976,            0.014625,               0.121,             0.13148,            0.071156,            0.029225,            0.052161,            0.011683,            0.038909,           0.0096299,           0.0096299,           0.0096299
                  15,            0.043057,            0.015258,            0.013046,             0.18574,             0.17116,             0.12419,            0.052935,            0.053412,            0.012117,            0.037975,           0.0095717,           0.0095717,           0.0095717
                  16,            0.042165,            0.015368,            0.012416,             0.16631,             0.12126,            0.099099,            0.046747,            0.054019,            0.012234,             0.03996,           0.0095095,           0.0095095,           0.0095095
                  17,            0.041134,            0.015249,            0.011993,            0.094732,             0.16476,             0.09823,            0.051072,            0.045927,             0.01225,              0.0353,           0.0094434,           0.0094434,           0.0094434
                  18,            0.039228,            0.014303,            0.010892,             0.12529,             0.21611,            0.089368,            0.041896,            0.047785,            0.012522,            0.045821,           0.0093733,           0.0093733,           0.0093733
                  19,            0.039787,            0.015347,            0.010782,             0.11882,             0.26265,            0.093614,            0.042968,            0.050687,             0.01209,            0.034198,           0.0092995,           0.0092995,           0.0092995
                  20,            0.038206,            0.014783,           0.0093851,            0.090816,             0.15484,            0.074878,             0.03951,            0.052453,            0.012534,            0.038557,           0.0092219,           0.0092219,           0.0092219
                  21,            0.039235,            0.015254,            0.010382,            0.090625,             0.17381,            0.051328,             0.02411,            0.049703,            0.013071,            0.043668,           0.0091406,           0.0091406,           0.0091406
                  22,             0.03827,            0.014515,             0.01067,             0.11372,             0.12654,            0.067518,            0.031014,            0.048854,            0.013545,            0.044711,           0.0090557,           0.0090557,           0.0090557
                  23,            0.038112,            0.013491,           0.0099045,            0.089784,             0.24267,            0.095217,            0.048674,            0.047699,            0.012663,            0.044257,           0.0089673,           0.0089673,           0.0089673
                  24,            0.037287,            0.015561,           0.0086734,            0.075204,             0.20017,            0.089087,            0.052267,            0.047691,            0.012915,            0.045014,           0.0088755,           0.0088755,           0.0088755
                  25,            0.036635,            0.014272,           0.0088426,             0.18394,             0.10049,             0.10102,            0.054561,            0.050296,            0.012573,            0.046328,           0.0087804,           0.0087804,           0.0087804
                  26,            0.036472,            0.013612,             0.00842,             0.21445,             0.11811,             0.11623,            0.061601,            0.048566,            0.012061,            0.039541,            0.008682,            0.008682,            0.008682
                  27,            0.036551,            0.015004,           0.0084387,             0.14321,             0.19095,             0.10463,            0.056206,            0.049961,            0.012386,            0.041476,           0.0085805,           0.0085805,           0.0085805
                  28,            0.035566,            0.014239,           0.0077525,            0.094986,             0.16579,            0.074276,            0.042145,            0.047488,             0.01265,              0.0599,           0.0084759,           0.0084759,           0.0084759
                  29,            0.035284,            0.014489,           0.0079657,             0.11083,             0.22397,              0.1148,            0.064332,            0.045366,            0.012522,            0.051076,           0.0083684,           0.0083684,           0.0083684
                  30,            0.035912,            0.014242,            0.008512,             0.15011,             0.21108,             0.10505,             0.05889,            0.049774,            0.012758,            0.034282,           0.0082581,           0.0082581,           0.0082581
                  31,            0.034631,            0.012744,           0.0078614,              0.2067,             0.11983,             0.09846,             0.05205,            0.051509,            0.013456,            0.043431,            0.008145,            0.008145,            0.008145
                  32,            0.034634,            0.012986,           0.0074951,            0.091994,             0.22228,            0.087462,            0.047232,            0.046764,            0.012452,            0.041287,           0.0080294,           0.0080294,           0.0080294
                  33,            0.034313,            0.013275,           0.0073553,            0.096139,             0.21043,            0.088512,            0.050575,            0.047522,            0.013442,            0.039715,           0.0079112,           0.0079112,           0.0079112
                  34,            0.034045,            0.013257,           0.0072094,             0.27499,             0.12606,             0.11184,            0.057721,            0.043577,            0.012116,            0.050463,           0.0077907,           0.0077907,           0.0077907
                  35,            0.033567,            0.012772,           0.0071502,             0.19608,             0.13829,             0.12553,            0.069164,            0.048153,             0.01225,             0.04086,           0.0076679,           0.0076679,           0.0076679
                  36,            0.033914,            0.013688,           0.0066331,             0.17229,             0.10915,             0.10712,             0.06005,            0.047827,             0.01237,            0.037392,            0.007543,            0.007543,            0.007543
                  37,            0.033226,            0.013165,            0.006282,             0.12715,             0.22763,             0.10154,            0.054307,            0.043519,            0.012603,            0.052804,            0.007416,            0.007416,            0.007416
                  38,            0.033137,            0.013233,            0.007152,             0.18643,             0.14595,             0.12677,            0.067501,            0.044276,            0.012111,            0.044743,           0.0072872,           0.0072872,           0.0072872
                  39,             0.03242,            0.011997,           0.0065057,             0.13621,             0.22135,             0.10857,            0.061217,            0.049011,            0.012737,            0.052989,           0.0071566,           0.0071566,           0.0071566
                  40,            0.032233,            0.012161,           0.0064368,             0.20788,             0.14296,             0.11991,            0.069015,            0.047019,             0.01353,            0.038515,           0.0070243,           0.0070243,           0.0070243
                  41,            0.032378,            0.012232,           0.0063573,              0.2007,            0.086632,            0.087571,            0.050491,            0.045625,            0.013938,            0.046446,           0.0068906,           0.0068906,           0.0068906
                  42,            0.031155,            0.012558,           0.0065357,             0.33009,             0.09093,             0.11663,            0.070447,            0.043588,            0.013324,            0.043124,           0.0067555,           0.0067555,           0.0067555
                  43,            0.031724,            0.013482,           0.0059122,             0.13213,             0.20655,             0.10285,             0.06132,            0.045143,            0.014653,            0.045722,           0.0066191,           0.0066191,           0.0066191
                  44,             0.03185,            0.011735,           0.0060959,             0.10693,             0.22838,            0.088343,            0.052399,            0.045317,            0.014923,            0.045528,           0.0064816,           0.0064816,           0.0064816
                  45,            0.030328,            0.011854,             0.00474,             0.08906,              0.2393,            0.093106,            0.055243,            0.044817,            0.014114,            0.041034,           0.0063432,           0.0063432,           0.0063432
                  46,            0.030941,            0.011042,           0.0052523,             0.12988,             0.16764,             0.10487,             0.05868,             0.04678,            0.014632,            0.045754,            0.006204,            0.006204,            0.006204
                  47,            0.030776,            0.012007,           0.0048298,            0.067482,             0.32926,            0.081475,            0.045655,            0.048648,            0.013553,             0.05878,            0.006064,            0.006064,            0.006064
                  48,            0.030613,            0.011516,           0.0049563,             0.12424,             0.20065,             0.11254,            0.067655,            0.044082,            0.013558,            0.053405,           0.0059235,           0.0059235,           0.0059235
                  49,            0.029915,            0.011552,           0.0049544,             0.17531,             0.23099,             0.14508,            0.076749,            0.042028,            0.013175,            0.035831,           0.0057826,           0.0057826,           0.0057826
                  50,            0.029402,            0.011323,           0.0048517,             0.12112,             0.23235,             0.11301,            0.068433,            0.043466,            0.014137,            0.054594,           0.0056413,           0.0056413,           0.0056413
                  51,            0.029514,            0.011479,           0.0050596,             0.08738,             0.23529,            0.096945,            0.054158,            0.045712,             0.01405,            0.047905,              0.0055,              0.0055,              0.0055
                  52,            0.029303,            0.011233,           0.0047167,             0.12833,             0.25895,             0.10589,            0.060129,            0.044672,            0.013869,            0.046827,           0.0053587,           0.0053587,           0.0053587
                  53,            0.029395,            0.011808,           0.0044972,             0.17054,             0.15779,             0.11238,            0.058427,            0.045729,            0.014519,            0.049681,           0.0052174,           0.0052174,           0.0052174
                  54,            0.028426,             0.01092,           0.0040358,             0.30921,              0.1207,             0.14005,            0.081204,            0.044864,            0.014075,             0.04748,           0.0050765,           0.0050765,           0.0050765
                  55,            0.028699,             0.01076,           0.0040905,             0.19774,             0.17087,             0.13335,            0.072939,            0.045951,            0.014271,            0.045967,            0.004936,            0.004936,            0.004936
                  56,            0.028034,            0.011159,           0.0043481,             0.22091,             0.20482,             0.14072,            0.078406,            0.043821,            0.014072,            0.044223,            0.004796,            0.004796,            0.004796
                  57,            0.028904,            0.012008,           0.0043539,             0.10384,             0.23229,             0.11143,            0.062942,            0.042427,            0.015259,            0.052273,           0.0046568,           0.0046568,           0.0046568
                  58,            0.027926,            0.010718,            0.003797,             0.16636,             0.25909,             0.13013,            0.073807,            0.044296,            0.014648,            0.055062,           0.0045184,           0.0045184,           0.0045184
                  59,            0.027737,            0.010119,           0.0039687,             0.14704,             0.21805,             0.12211,            0.064759,             0.04738,            0.015378,            0.053463,           0.0043809,           0.0043809,           0.0043809
                  60,            0.027836,           0.0097602,           0.0034042,             0.18745,              0.1809,             0.13302,            0.077346,            0.045254,            0.015366,            0.057313,           0.0042445,           0.0042445,           0.0042445
                  61,            0.026859,           0.0094538,           0.0036389,             0.17652,             0.15625,             0.12121,            0.071867,            0.044124,            0.016366,             0.05245,           0.0041094,           0.0041094,           0.0041094
                  62,            0.026684,            0.010377,           0.0039236,             0.12119,             0.30726,             0.12932,             0.06903,            0.045699,            0.015767,            0.052248,           0.0039757,           0.0039757,           0.0039757
                  63,            0.026054,           0.0097329,              0.0031,             0.14095,             0.22082,             0.13024,             0.07215,            0.044642,            0.015885,            0.052292,           0.0038434,           0.0038434,           0.0038434
